フシギバナフシギバナ	リザードンリザードン	カメックスカメックス
スピアースピアー	ピジョットピジョット	アーボックアーボック
ピカチュウピカチュウ	ライチュウライチュウ	アローラライチュウアローラライチュウ
ピクシーピクシー	キュウコンキュウコン	アローラキュウコンアローラキュウコン
ウインディウインディ	ヒスイウインディヒスイウインディ	フーディンフーディン
カイリキーカイリキー	ウツボットウツボット	ヤドランヤドラン
ガラルヤドランガラルヤドラン	ゲンガーゲンガー	ガルーラガルーラ
スターミースターミー	カイロスカイロス	ケンタロスケンタロス
パルデアケンタロス(かくとう)パルデアケンタロス(かくとう)	パルデアケンタロス(ほのお)パルデアケンタロス(ほのお)	パルデアケンタロス(みず)パルデアケンタロス(みず)
ギャラドスギャラドス	メタモンメタモン	シャワーズシャワーズ
サンダースサンダース	ブースターブースター	プテラプテラ
カビゴンカビゴン	カイリューカイリュー	メガニウムメガニウム
バクフーンバクフーン	ヒスイバクフーンヒスイバクフーン	オーダイルオーダイル
アリアドスアリアドス	デンリュウデンリュウ	マリルリマリルリ
ニョロトノニョロトノ	エーフィエーフィ	ブラッキーブラッキー
ヤドキングヤドキング	ガラルヤドキングガラルヤドキング	フォレトスフォレトス
ハガネールハガネール	ハッサムハッサム	ヘラクロスヘラクロス
エアームドエアームド	ヘルガーヘルガー	バンギラスバンギラス
ペリッパーペリッパー	サーナイトサーナイト	ヤミラミヤミラミ
ボスゴドラボスゴドラ	チャーレムチャーレム	ライボルトライボルト
サメハダーサメハダー	バクーダバクーダ	コータスコータス
チルタリスチルタリス	ミロカロスミロカロス	ポワルンポワルン
ジュペッタジュペッタ	チリーンチリーン	アブソルアブソル
オニゴーリオニゴーリ	ドダイトスドダイトス	ゴウカザルゴウカザル
エンペルトエンペルト	レントラーレントラー	ロズレイドロズレイド
ズガイドスズガイドス	タテトプスタテトプス	ミミロップミミロップ
ミカルゲミカルゲ	ガブリアスガブリアス	ルカリオルカリオ
カバルドンカバルドン	ドクロッグドクロッグ	ユキノオーユキノオー
マニューラマニューラ	ドサイドンドサイドン	リーフィアリーフィア
グレイシアグレイシア	グライオングライオン	マンムーマンムー
エルレイドエルレイド	ユキメノコユキメノコ	ロトムロトム
ヒートロトムヒートロトム	ウォッシュロトムウォッシュロトム	フロストロトムフロストロトム
スピンロトムスピンロトム	カットロトムカットロトム	ジャローダジャローダ
エンブオーエンブオー	ダイケンキダイケンキ	ヒスイダイケンキヒスイダイケンキ
ミルホッグミルホッグ	レパルダスレパルダス	ヤナッキーヤナッキー
バオッキーバオッキー	ヒヤッキーヒヤッキー	ドリュウズドリュウズ
タブンネタブンネ	ローブシンローブシン	エルフーンエルフーン
ワルビアルワルビアル	デスカーンデスカーン	ダストダスダストダス
ゾロアークゾロアーク	ヒスイゾロアークヒスイゾロアーク	ランクルスランクルス
バイバニラバイバニラ	エモンガエモンガ	シャンデラシャンデラ
ツンベアーツンベアー	マッギョマッギョ	ガラルマッギョガラルマッギョ
ゴルーグゴルーグ	サザンドラサザンドラ	ウルガモスウルガモス
ブリガロンブリガロン	マフォクシーマフォクシー	ゲッコウガゲッコウガ
ホルードホルード	ファイアローファイアロー	ビビヨンビビヨン
フラエッテフラエッテ	フラージェスフラージェス	ゴロンダゴロンダ
トリミアントリミアン	ニャオニクス(オス)ニャオニクス(オス)	ニャオニクス(メス)ニャオニクス(メス)
ギルガルドギルガルド	フレフワンフレフワン	ペロリームペロリーム
ブロスターブロスター	エレザードエレザード	ガチゴラスガチゴラス
アマルルガアマルルガ	ニンフィアニンフィア	ルチャブルルチャブル
デデンネデデンネ	ヌメルゴンヌメルゴン	ヒスイヌメルゴンヒスイヌメルゴン
クレッフィクレッフィ	オーロットオーロット	パンプジンパンプジン(ちゅうだま)
パンプジンパンプジン(こだま)	パンプジンパンプジン(おおだま)	パンプジンパンプジン(ギガだま)
クレベースクレベース	ヒスイクレベースヒスイクレベース	オンバーンオンバーン
ジュナイパージュナイパー	ヒスイジュナイパーヒスイジュナイパー	ガオガエンガオガエン
アシレーヌアシレーヌ	ドデカバシドデカバシ	ケケンカニケケンカニ
ルガルガン(まひる)ルガルガン(まひる)	ルガルガン(まよなか)ルガルガン(まよなか)	ルガルガン(たそがれ)ルガルガン(たそがれ)
ドヒドイデドヒドイデ	バンバドロバンバドロ	オニシズクモオニシズクモ
エンニュートエンニュート	アマージョアマージョ	ヤレユータンヤレユータン
ナゲツケサルナゲツケサル	ミミッキュミミッキュ	ジジーロンジジーロン
ジャラランガジャラランガ	アーマーガアアーマーガア	アップリューアップリュー
タルップルタルップル	サダイジャサダイジャ	ポットデスポットデス
ブリムオンブリムオン	バリコオルバリコオル	デスバーンデスバーン
マホイップマホイップ	モルペコモルペコ	ドラパルトドラパルト
アヤシシアヤシシ	バサギリバサギリ	イダイトウ(オス)イダイトウ(オス)
イダイトウ(メス)イダイトウ(メス)	オオニューラオオニューラ	マスカーニャマスカーニャ
ラウドボーンラウドボーン	ウェーニバルウェーニバル	イッカネズミイッカネズミ
キョジオーンキョジオーン	グレンアルマグレンアルマ	ソウブレイズソウブレイズ
ハラバリーハラバリー	スコヴィランスコヴィラン	クエスパトラクエスパトラ
デカヌチャンデカヌチャン	イルカマンイルカマン	ミミズズミミズズ
キラフロルキラフロル	リキキリンリキキリン	ドドゲザンドドゲザン
ヤバソチャヤバソチャ	ブリジュラスブリジュラス	カミツオロチ
